Login,Password
joao_beto@ig.com,pwjoao#$j1
maria_tia@ig.com,pwmaria@!2
rita_oli@bol.com,pwrita%&m3
beto@gmail.com,pwbeto$#b4
sid@terra.com,pwsid236$#5
edu@hotmail.com,pwedu345#6
tiao@uol.com,pwtiao43%7
andre@gol.com,pwandre@#8
lui_boy@anc.com,pwluiz34%9
margaretti@hot.com,pwmarg34&0
monica@ig.com,pwmonc#$1
robert@uol.com ,pwrobe$%2
cida@gmail.com,pwcida34%3
alana@gol.com,pwalan43&4
diego@crip.com,2diegpw54$
eliane@ail.com,3elipw3454#
clara@hot.com,5pwclara$%5
arial@uol.com,9arial%#733
sonia@ig.com,8sonia$%653
paulo@gol.com,9paulo&#543
